3230/10000  err=2.51e-14
3240/10000  err=2.50e-14
3250/10000  err=2.49e-14
3260/10000  err=2.48e-14
3270/10000  err=2.48e-14
3280/10000  err=2.47e-14
3290/10000  err=2.46e-14
3300/10000  err=2.45e-14
3310/10000  err=2.45e-14
3320/10000  err=2.44e-14
3330/10000  err=2.43e-14
3340/10000  err=2.42e-14
3350/10000  err=2.42e-14
3360/10000  err=2.41e-14
3370/10000  err=2.40e-14
3380/10000  err=2.39e-14
3390/10000  err=2.39e-14
3400/10000  err=2.38e-14
3410/10000  err=2.37e-14
3420/10000  err=2.37e-14
3430/10000  err=2.36e-14
3440/10000  err=2.35e-14
3450/10000  err=2.35e-14
3460/10000  err=2.34e-14
3470/10000  err=2.33e-14
3480/10000  err=2.33e-14
3490/10000  err=2.32e-14
3500/10000  err=2.31e-14
3510/10000  err=2.31e-14
3520/10000  err=2.30e-14
3530/10000  err=2.29e-14
3540/10000  err=2.29e-14
3550/10000  err=2.28e-14
3560/10000  err=2.27e-14
3570/10000  err=2.27e-14
3580/10000  err=2.26e-14
3590/10000  err=2.25e-14
3600/10000  err=2.25e-14
3610/10000  err=2.24e-14
3620/10000  err=2.23e-14
3630/10000  err=2.23e-14
3640/10000  err=2.22e-14
3650/10000  err=2.22e-14
3660/10000  err=2.21e-14
3670/10000  err=2.20e-14
3680/10000  err=2.20e-14
3690/10000  err=2.19e-14
3700/10000  err=2.19e-14
3710/10000  err=2.18e-14
3720/10000  err=2.17e-14
3730/10000  err=2.17e-14
3740/10000  err=2.16e-14
3750/10000  err=2.16e-14
3760/10000  err=2.15e-14
3770/10000  err=2.14e-14
3780/10000  err=2.14e-14
3790/10000  err=2.13e-14
3800/10000  err=2.13e-14
3810/10000  err=2.12e-14
3820/10000  err=2.12e-14
3830/10000  err=2.11e-14
3840/10000  err=2.11e-14
3850/10000  err=2.10e-14
3860/10000  err=2.09e-14
3870/10000  err=2.09e-14
3880/10000  err=2.08e-14
3890/10000  err=2.08e-14
3900/10000  err=2.07e-14
3910/10000  err=2.07e-14
3920/10000  err=2.06e-14
3930/10000  err=2.06e-14
3940/10000  err=2.05e-14
3950/10000  err=2.05e-14
3960/10000  err=2.04e-14
3970/10000  err=2.04e-14
3980/10000  err=2.03e-14
3990/10000  err=2.03e-14
4000/10000  err=2.02e-14
4010/10000  err=2.02e-14
4020/10000  err=2.01e-14
4030/10000  err=2.01e-14
4040/10000  err=2.00e-14
4050/10000  err=2.00e-14
4060/10000  err=1.99e-14
4070/10000  err=1.99e-14
4080/10000  err=1.98e-14
4090/10000  err=1.98e-14
4100/10000  err=1.97e-14
4110/10000  err=1.97e-14
4120/10000  err=1.96e-14
4130/10000  err=1.96e-14
4140/10000  err=1.95e-14
4150/10000  err=1.95e-14
4160/10000  err=1.94e-14
4170/10000  err=1.94e-14
4180/10000  err=1.93e-14
4190/10000  err=1.93e-14
4200/10000  err=1.92e-14
4210/10000  err=1.92e-14
4220/10000  err=1.91e-14
