step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
97,0.80,52.3009,+0.1678,-8.2982,60.5991,81.7515,+135.4930,18689.4531,3626.5808
98,0.79,52.3857,+0.8278,-8.2793,60.6650,97.7612,+135.4075,18679.3203,3639.1868
99,0.80,52.3368,-0.0914,-8.2949,60.6317,86.6924,+134.8462,18515.3281,3625.7715
100,0.80,51.5732,+0.2335,-8.2808,59.8540,88.2412,+133.4654,18146.2500,3563.6670
101,0.78,51.5613,+0.2275,-8.2771,59.8383,90.5183,+132.9801,18036.6504,3549.8271
102,0.77,50.5418,-0.0761,-8.2671,58.8090,106.3804,+131.5409,17666.3672,3480.9717
103,0.77,50.9573,+0.2029,-8.2715,59.2288,102.4041,+131.1268,17571.1055,3503.2063
104,0.77,50.7155,-0.3195,-8.2631,58.9786,97.9905,+130.5906,17413.2090,3474.8857
105,0.77,50.4593,-0.2155,-8.2653,58.7246,82.4585,+130.0829,17272.1602,3453.0063
106,0.77,50.2899,-0.2822,-8.2663,58.5562,94.6182,+129.8324,17220.8438,3442.6602
107,0.78,49.9724,-0.0295,-8.2438,58.2162,93.5691,+128.6226,16897.5312,3409.2529
108,0.76,49.9982,+0.1437,-8.2381,58.2363,98.8799,+128.6051,16942.7910,3420.1157
109,0.77,49.9160,-0.0263,-8.2264,58.1424,109.1533,+128.1259,16814.8711,3401.8076
110,0.77,49.4254,+0.7113,-8.2288,57.6543,101.9033,+127.3711,16615.2773,3366.2969
111,0.77,49.2051,-0.4734,-8.2275,57.4326,108.8594,+126.9395,16505.6875,3372.9048
112,0.77,49.1796,-0.1744,-8.2238,57.4035,99.5903,+126.7126,16457.6680,3366.1772
113,0.77,48.8045,+0.1684,-8.2214,57.0259,105.5391,+126.0916,16318.8574,3345.0154
114,0.77,48.6258,-0.0142,-8.2119,56.8378,104.2710,+125.7129,16215.7480,3332.3311
115,0.77,48.2294,-0.3952,-8.2080,56.4374,112.3091,+124.1695,15855.2070,3294.6016
116,0.76,48.1785,-0.2578,-8.2092,56.3877,88.7236,+123.8120,15730.5527,3293.8301
117,0.77,47.9049,-0.4092,-8.1810,56.0859,99.5881,+123.1274,15578.9512,3273.6904
118,0.77,47.7372,-0.3612,-8.2131,55.9503,99.6931,+122.8779,15547.4932,3262.6123
119,0.76,47.3287,-0.5453,-8.2059,55.5346,98.9558,+121.7074,15256.7490,3228.2581
120,0.76,46.8407,-0.2265,-8.1834,55.0241,108.3347,+120.5301,14987.6758,3188.5000
121,0.77,46.5741,-0.2986,-8.1948,54.7689,86.2693,+119.9834,14816.2207,3177.2197
