step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
149,0.72,54.5882,+0.4245,-7.9777,62.5660,171.6223,+127.3737,16889.2891,3737.0000
150,0.74,54.9799,-0.1226,-7.9677,62.9476,175.0798,+127.2171,16853.5977,3739.4248
151,0.73,54.8925,-0.1867,-7.9694,62.8620,187.0774,+127.3648,16976.1406,3725.5969
152,0.72,54.8393,+1.4218,-7.9490,62.7883,213.0408,+124.9542,16384.1680,3726.2046
153,0.72,54.3179,+0.1855,-7.9344,62.2523,194.9944,+124.3168,16179.0664,3671.8027
154,0.71,54.3149,-0.0771,-7.9377,62.2526,199.1133,+125.1689,16486.7207,3683.2461
155,0.72,55.2554,-0.5084,-7.9270,63.1824,152.9692,+125.7485,16586.3203,3739.7354
156,0.72,53.7674,-0.4425,-7.9516,61.7190,159.1428,+123.6099,15959.7275,3637.8262
157,0.72,54.7413,-0.4431,-7.9661,62.7075,137.5386,+124.5408,16195.3711,3711.1899
158,0.73,54.4616,+0.1507,-7.9857,62.4473,170.6770,+123.8364,16104.3945,3694.9805
159,0.72,53.9287,-0.8982,-7.9700,61.8987,141.9370,+123.4619,15975.7764,3655.2522
160,0.72,54.8364,+0.0123,-7.9579,62.7943,189.3992,+123.8597,16128.6172,3701.4712
161,0.71,53.5897,-0.2812,-7.9559,61.5457,164.7236,+122.4500,15713.4043,3633.2932
162,0.72,53.7447,-0.9973,-7.9555,61.7002,196.6726,+122.3298,15746.6768,3652.1240
163,0.72,53.0387,-0.5357,-7.9410,60.9797,159.6252,+122.9766,15911.0898,3598.0842
164,0.72,52.5217,-1.3168,-7.9424,60.4640,164.6633,+121.6830,15511.2227,3594.1323
165,0.72,52.4392,-1.6443,-7.9357,60.3749,179.8005,+123.0228,15810.2246,3612.2468
166,0.72,52.5566,-0.0794,-7.9218,60.4785,150.0061,+121.2627,15380.9980,3596.2344
167,0.71,53.6916,-0.7195,-7.9133,61.6049,190.7832,+120.5610,15310.8145,3695.2190
168,0.70,53.2610,-0.1230,-7.9225,61.1835,178.3855,+121.3426,15487.7109,3658.7881
169,0.70,53.3820,-0.8531,-7.9321,61.3141,164.1692,+121.4479,15510.8848,3650.5366
170,0.72,52.3359,+0.0028,-7.9010,60.2370,226.3826,+120.5049,15255.4434,3572.4946
171,0.71,53.7288,-0.1663,-7.9077,61.6366,118.4351,+119.1378,14868.6738,3658.8069
172,0.72,52.2741,+0.3189,-7.8804,60.1545,227.6956,+119.2134,14912.5430,3576.1025
173,0.72,52.7487,+0.5492,-7.8608,60.6095,146.1360,+119.1394,14802.9844,3605.7090
174,0.71,51.9490,+1.2149,-7.8819,59.8309,155.3713,+120.7091,15198.3457,3569.3521
175,0.72,52.4811,-0.0638,-7.8687,60.3498,126.8062,+117.9703,14434.6533,3587.6770
176,0.72,51.4314,-0.2123,-7.8818,59.3131,162.8547,+117.6814,14435.2334,3541.0422
177,0.71,51.5805,+0.5628,-7.8715,59.4520,132.7874,+118.4878,14660.6396,3538.1323
178,0.73,51.4974,+0.3024,-7.8453,59.3427,148.5803,+118.1552,14558.4219,3502.1841
179,0.71,51.2692,-0.1386,-7.8520,59.1211,129.1616,+117.1262,14226.9414,3482.8872
180,0.73,52.3306,-0.3351,-7.8477,60.1783,121.8132,+116.4002,14108.2793,3542.1309
181,0.72,51.4381,-0.6307,-7.8509,59.2891,137.6284,+115.9939,14081.5957,3484.4856
182,0.73,51.1282,+0.4222,-7.8772,59.0054,140.1519,+114.7949,13785.5605,3465.3564
183,0.72,50.6116,+0.2486,-7.8881,58.4997,116.4502,+114.4478,13698.0332,3476.0020
184,0.71,51.3784,-1.0148,-7.8720,59.2504,140.2571,+114.6598,13776.6465,3504.2954
185,0.71,50.5592,-0.4179,-7.8792,58.4384,139.7449,+114.2541,13710.6191,3446.0972
186,0.71,50.7349,-0.8171,-7.8764,58.6114,123.0034,+115.1162,13866.2344,3435.8118
187,0.71,50.5634,-0.2607,-7.8946,58.4580,100.4180,+113.9929,13541.9980,3449.4575
188,0.73,50.6409,-0.7216,-7.9017,58.5426,143.2417,+114.4946,13732.8672,3443.7273
189,0.73,51.7380,+0.2342,-7.8965,59.6345,195.5068,+114.6182,13813.3760,3510.7271
190,0.72,49.0992,+0.1444,-7.8870,56.9861,136.4419,+113.5924,13477.6182,3347.9878
191,0.71,49.9752,+0.0589,-7.8640,57.8391,202.3596,+112.1398,13230.2695,3376.6973
192,0.72,49.3431,-0.1532,-7.8703,57.2134,125.7534,+110.0692,12643.4404,3331.1274
193,0.74,50.1474,+0.7718,-7.8512,57.9986,99.7075,+111.9639,13091.0771,3356.7229
194,0.75,50.7965,-0.6809,-7.8744,58.6709,179.7346,+112.3253,13284.6113,3402.9465
195,0.72,50.6545,-0.4447,-7.8919,58.5464,93.0728,+109.7560,12631.0488,3370.9954
196,0.73,50.2853,+0.1838,-7.8806,58.1659,109.9409,+110.0990,12765.0293,3364.9968
197,0.73,49.2938,-1.2751,-7.8952,57.1889,117.8298,+109.5211,12587.2256,3310.2463
198,0.73,48.9774,-0.5052,-7.9031,56.8805,102.8723,+109.8962,12592.3008,3279.0596
199,0.71,48.8611,-0.5898,-7.8961,56.7572,124.8020,+108.1382,12219.7715,3275.9941
200,0.72,48.9315,-0.5096,-7.9036,56.8351,115.3350,+109.2898,12474.5176,3303.1848
201,0.68,48.5409,-0.9297,-7.8895,56.4305,137.3757,+108.9819,12412.4248,3286.2803
202,0.69,48.9578,-0.4025,-7.8720,56.8298,104.4119,+110.1631,12660.1152,3312.5298
203,0.69,49.0409,-0.5360,-7.8707,56.9116,112.5630,+111.0032,12863.8936,3331.9771
204,0.69,48.9463,-0.4153,-7.8706,56.8169,107.2087,+110.4805,12683.4922,3325.4167
205,0.69,49.2270,-1.1879,-7.8668,57.0938,115.3730,+110.2343,12654.8770,3359.7507
206,0.69,48.7180,-1.6642,-7.8608,56.5787,97.8206,+108.9932,12326.8369,3297.1519
207,0.72,47.9220,+0.3655,-7.8756,55.7977,113.1797,+109.3669,12500.3535,3258.4878
208,0.71,47.8909,-0.1688,-7.8885,55.7794,94.1340,+108.6572,12216.1992,3255.8003
209,0.70,48.3560,-1.6443,-7.9001,56.2561,116.1824,+108.1012,12171.5498,3290.8174
210,0.70,47.8893,-0.6009,-7.8922,55.7815,81.2576,+106.7415,11850.3301,3237.4636
